Time,SCHEDULED_MIXED_WORKLOADS_ZONE::Des Heat Load [W],SCHEDULED_MIXED_WORKLOADS_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Des Sens Cool Load [W],SCHEDULED_MIXED_WORKLOADS_ZONE::Des Heat Mass Flow [kg/s],SCHEDULED_MIXED_WORKLOADS_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Des Cool Mass Flow [kg/s],SCHEDULED_MIXED_WORKLOADS_ZONE::Des Latent Heat Load [W],SCHEDULED_MIXED_WORKLOADS_ZONE::Des Latent Cool Load [W],SCHEDULED_MIXED_WORKLOADS_ZONE::Des Latent Heat Mass Flow [kg/s],SCHEDULED_MIXED_WORKLOADS_ZONE::Des Latent Cool Mass Flow [kg/s],SCHEDULED_MIXED_WORKLOADS_ZONE::Des Heat Load No DOAS [W],SCHEDULED_MIXED_WORKLOADS_ZONE::Des Sens Cool Load No DOAS [W],SCHEDULED_MIXED_WORKLOADS_ZONE::Des Latent Heat Load No DOAS [W],SCHEDULED_MIXED_WORKLOADS_ZONE::Des Latent Cool Load No DOAS [W],SCHEDULED_MIXED_WORKLOADS_ZONE::Heating Zone Temperature [C],SCHEDULED_MIXED_WORKLOADS_ZONE::Heating Zone Relative Humidity [%],SCHEDULED_MIXED_WORKLOADS_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Cooling Zone Temperature [C],SCHEDULED_MIXED_WORKLOADS_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Cooling Zone Relative Humidity [%]
11:30:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
11:45:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
12:00:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
12:15:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
12:30:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
12:45:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
13:00:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
13:15:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
13:30:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
13:45:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
14:00:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
14:15:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
14:30:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
14:45:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
15:00:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
15:15:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
15:30:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
15:45:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
16:00:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
16:15:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
16:30:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
16:45:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
17:00:00,0.000000E+00,2.051236E+05,0.000000E+00,1.227247E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.940000E+01,2.949344E+01
