Time,STREAMLIT_RUN_ZONE::Des Heat Load [W],STREAMLIT_RUN_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Des Sens Cool Load [W],STREAMLIT_RUN_ZONE::Des Heat Mass Flow [kg/s],STREAMLIT_RUN_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Des Cool Mass Flow [kg/s],STREAMLIT_RUN_ZONE::Des Latent Heat Load [W],STREAMLIT_RUN_ZONE::Des Latent Cool Load [W],STREAMLIT_RUN_ZONE::Des Latent Heat Mass Flow [kg/s],STREAMLIT_RUN_ZONE::Des Latent Cool Mass Flow [kg/s],STREAMLIT_RUN_ZONE::Des Heat Load No DOAS [W],STREAMLIT_RUN_ZONE::Des Sens Cool Load No DOAS [W],STREAMLIT_RUN_ZONE::Des Latent Heat Load No DOAS [W],STREAMLIT_RUN_ZONE::Des Latent Cool Load No DOAS [W],STREAMLIT_RUN_ZONE::Heating Zone Temperature [C],STREAMLIT_RUN_ZONE::Heating Zone Relative Humidity [%],STREAMLIT_RUN_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Cooling Zone Temperature [C],STREAMLIT_RUN_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Cooling Zone Relative Humidity [%]
05:00:00,0.000000E+00,1.452237E+05,0.000000E+00,9.313356E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
05:15:00,0.000000E+00,1.452216E+05,0.000000E+00,9.313222E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
05:30:00,0.000000E+00,1.452201E+05,0.000000E+00,9.313124E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
05:45:00,0.000000E+00,1.452193E+05,0.000000E+00,9.313078E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
06:00:00,0.000000E+00,1.452226E+05,0.000000E+00,9.313286E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
06:15:00,0.000000E+00,1.089179E+05,0.000000E+00,6.985025E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
06:30:00,0.000000E+00,7.261317E+04,0.000000E+00,4.656764E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.793659E+01,3.210526E+01
06:45:00,0.000000E+00,3.630826E+04,0.000000E+00,2.328489E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.758317E+01,3.277458E+01
07:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.718529E+01,3.354701E+01
07:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.681569E+01,3.428297E+01
