room_length,room_width,room_height,num_rows,racks_per_row,rack_power_kw,dclc_effectiveness,rdhx_effectiveness,num_heat_exchangers,hx_capacity_kw,num_air_handlers,cfm_per_handler,inlet_temp_c,cdu_flow_gpm,num_cdus,delta_p_kpa,pump_eta,cop,wall_u,floor_u,total_racks,it_load_kw,it_energy_kwh,daily_energy_kwh,daily_cost_usd,energy_per_it_kwh,cost_per_it_kwh,avg_pue,max_room_temp_c,feasible,objective_score
22.91210921205777,27.856045879385203,5.628820854225948,6,14,50.0,0.10336559693390582,0.7944652905028526,1,33.94255021897567,1,76134.68729875147,21.282723459060367,130.9601027132967,4,171.73792466898513,0.6030377455970388,5.582263886571841,0.2961890725976788,0.46289212058488555,84.0,4200.0,100800.0,116760.3105177326,8911.983680938743,1.158336413866395,0.08841253651724944,1.158336413866397,38.3995690465479,1.0,0.0
28.304359806455274,16.380845920148772,6.641053053897611,3,24,50.0,0.3755968821100486,0.7913284808915262,1,78.83289965344784,1,73876.70612866546,19.844028789992564,145.79964551760648,1,218.2333488045943,0.7855460504006698,5.867609387001859,0.24577035294769564,0.8186465393817774,72.0,3600.0,86400.0,100242.82733143542,7651.250988864342,1.1602179089286506,0.0885561457044484,1.1602179089286488,29.12736159039837,1.0,0.006126372106810324
30.219730374146714,25.152877544919814,5.328599575536051,4,22,50.0,0.16926514855389294,0.8442080860320964,1,94.80724259412598,1,71490.32180179638,19.869269732103803,124.82890247952905,6,221.0986486267795,0.8058310122232937,5.8652309678761165,0.3621443605956053,0.5144562031527902,88.0,4400.0,105600.0,122529.08098429616,9352.297585801885,1.160313266896744,0.0885634241079724,1.1603132668967455,31.528927728921882,1.0,0.006436869013032849
33.31104116812644,17.06512245060737,4.811463425598286,6,12,60.0,0.37085785677758154,0.8026369715474583,2,86.44015761287594,1,77832.12530478534,23.00494152297772,181.73797350844026,1,161.0599548069588,0.8163327400444824,5.826531421782904,0.4438219650465598,0.7164548913405351,72.0,4320.0,103680.0,120346.61313500378,9185.715998524294,1.1607505124903914,0.0885967978252729,1.160750512490392,31.17666942382434,1.0,0.007860592764683455
23.704140099252736,26.311420903573044,6.689273138366747,3,24,50.0,0.10988788010699976,0.8061394893830338,2,90.13686497868633,1,102974.28574042986,22.073307774436984,150.0293890500352,2,109.98120638376851,0.7153167918176087,5.720400104721597,0.19459518227236702,0.5367491515729808,72.0,3600.0,86400.0,100326.67394432743,7657.650763260987,1.161188355837123,0.08863021716737254,1.1611883558371219,29.613108381660464,1.0,0.00928626287159676
21.717318544340202,25.59190028752741,6.430151440346717,5,14,60.0,0.30957183387057885,0.8108056798859304,0,92.60078195820255,1,62677.051404431884,23.683954249398035,195.52580604465632,5,137.06498814333483,0.6181363984313708,5.599751022070665,0.16884377373321355,0.2439085227483979,70.0,4200.0,100800.0,117605.02640487655,8976.458451242752,1.1667165317944101,0.0890521671750273,1.166716531794411,39.145867392226144,1.0,0.02728666248237723
28.812028211127497,27.848951236700948,4.697817713496388,6,13,50.0,0.218198162831043,0.8485545104307421,0,104.3719474190977,1,86135.54173081732,21.4910853734337,120.20117875313056,4,151.09633252404424,0.609476678889364,5.770227418660561,0.3093263160138799,0.8621135481492306,78.0,3900.0,93600.0,109218.0788763253,8336.306509406411,1.1668598170547575,0.08906310373297448,1.1668598170547555,30.82334018183145,1.0,0.02775321636280485
30.053116056974503,22.663343926485364,5.8838568738654775,3,25,50.0,0.19032468925727478,0.8246067537574879,1,101.22133969503022,2,61818.43682207783,23.996717881456217,113.10804568550631,3,180.31357117907484,0.7270436926935293,5.785021166570373,0.1689187488255748,0.31797733354127505,75.0,3750.0,90000.0,105107.52025752408,8022.559216616092,1.167861336194712,0.08913954685128991,1.167861336194713,30.15748507920646,1.0,0.03101428201562479
24.565896440036553,18.130235965330744,5.680822750100136,6,28,20.0,0.5134784971484821,0.7760082677261804,1,106.13248938179532,1,94543.99860405891,21.17211255684718,130.8373272315685,3,202.03030135999057,0.7369647729074885,5.916358891485725,0.11305573912089376,0.8546525644365908,168.0,3360.0,80640.0,94195.562697513,7189.680413273514,1.1680997358322545,0.08915774322015767,1.168099735832253,25.99933462536373,1.0,0.03179053964127876
29.32849888700708,16.432697476214752,6.035861137500841,4,23,50.0,0.2704958749469214,0.7592970624070133,1,121.59716233087894,2,61843.61185211437,22.57941863404306,186.63804904130802,1,205.88317650804805,0.7872441776192259,5.372149885005921,0.32807149109949263,0.33209211162874297,92.0,4600.0,110400.0,129048.48341719445,9849.90510186475,1.168917422257196,0.0892201549081952,1.1689174222571934,32.402324694123074,1.0,0.034453024069952966
